@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number,orcid
true,18,https://api.elsevier.com/content/author/author_id/57188734495,57188734495,Boraska Perica V.,Boraska Perica,Vesna,V.,true,60005517,83,NA
true,19,https://api.elsevier.com/content/author/author_id/57202315281,57202315281,Brandt H.,Brandt,Harry,H.,true,123112918,83,NA
true,20,https://api.elsevier.com/content/author/author_id/15742166000,15742166000,Breen G.,Breen,Gerome,G.,true,60015879,83,NA
true,1,https://api.elsevier.com/content/author/author_id/53876772700,53876772700,Bryois J.,Bryois,Julien,J.,true,60012311,83,NA
true,22,https://api.elsevier.com/content/author/author_id/23988640300,23988640300,Buehren K.,Buehren,Katharina,K.,true,60016653,83,NA
true,23,https://api.elsevier.com/content/author/author_id/56827294000,56827294000,Bulik C.,Bulik,Cynthia,C.,true,60012311,83,NA
true,24,https://api.elsevier.com/content/author/author_id/23670475400,23670475400,Burghardt R.,Burghardt,Roland,R.,true,100398229,83,NA
true,25,https://api.elsevier.com/content/author/author_id/57212839412,57212839412,Cassina M.,Cassina,Matteo,M.,true,60000481,83,NA
true,26,https://api.elsevier.com/content/author/author_id/56979466600,56979466600,Cichon S.,Cichon,Sven,S.,true,60028287,83,NA
true,27,https://api.elsevier.com/content/author/author_id/57217430181,57217430181,Clementi M.,Clementi,Maurizio,M.,true,60000481,83,NA
true,28,https://api.elsevier.com/content/author/author_id/56661677400,56661677400,Coleman J.,Coleman,Jonathan,J.,true,60015879,83,NA
true,29,https://api.elsevier.com/content/author/author_id/7102310249,7102310249,Cone R.,Cone,Roger,R.,true,60033182,83,NA
true,30,https://api.elsevier.com/content/author/author_id/57217339540,57217339540,Courtet P.,Courtet,Philippe,P.,true,60108488,83,NA
true,31,https://api.elsevier.com/content/author/author_id/7202195150,7202195150,Crawford S.,Crawford,Steven,S.,true,123112918,83,NA
true,32,https://api.elsevier.com/content/author/author_id/7103032078,7103032078,Crow S.,Crow,Scott,S.,true,60029445,83,NA
true,33,https://api.elsevier.com/content/author/author_id/55826872700,55826872700,Crowley J.,Crowley,James,J.,true,60020469,83,NA
true,34,https://api.elsevier.com/content/author/author_id/12241967700,12241967700,Danner U.,Danner,Unna,U.,true,100639479,83,NA
true,35,https://api.elsevier.com/content/author/author_id/20336924600,20336924600,Davis O.,Davis,Oliver,O.,true,60172455,83,NA
true,36,https://api.elsevier.com/content/author/author_id/7005151388,7005151388,de Zwaan M.,de Zwaan,Martina,M.,true,60024052,83,NA
true,37,https://api.elsevier.com/content/author/author_id/6701705920,6701705920,Dedoussis G.,Dedoussis,George,G.,true,60012296,83,NA
true,38,https://api.elsevier.com/content/author/author_id/6508108526,6508108526,Degortes D.,Degortes,Daniela,D.,true,60000481,83,NA
true,39,https://api.elsevier.com/content/author/author_id/6602316623,6602316623,DeSocio J.,DeSocio,Janiece,J.,true,60014543,83,NA
true,40,https://api.elsevier.com/content/author/author_id/7102825981,7102825981,Dick D.,Dick,Danielle,D.,true,60002476,83,NA
true,41,https://api.elsevier.com/content/author/author_id/6701448812,6701448812,Dikeos D.,Dikeos,Dimitris,D.,true,60067083,83,NA
true,42,https://api.elsevier.com/content/author/author_id/6603875114,6603875114,Dina C.,Dina,Christian,C.,true,60105651,83,NA
true,43,https://api.elsevier.com/content/author/author_id/57206755286,57206755286,Dmitrzak-Weglarz M.,Dmitrzak-Weglarz,Monika,M.,true,60069010,83,NA
true,44,https://api.elsevier.com/content/author/author_id/10339198800,10339198800,Docampo Martinez E.,Docampo Martinez,Elisa,E.,true,60108879,83,NA
true,45,https://api.elsevier.com/content/author/author_id/57210439824,57210439824,Duncan L.,Duncan,Laramie,L.,true,60012708,83,NA
true,46,https://api.elsevier.com/content/author/author_id/57211740201,57211740201,Egberts K.,Egberts,Karin,K.,true,60032515,83,NA
true,47,https://api.elsevier.com/content/author/author_id/23100034000,23100034000,Ehrlich S.,Ehrlich,Stefan,S.,true,60025676,83,NA
true,48,https://api.elsevier.com/content/author/author_id/6507111327,6507111327,Escaramís G.,Escaramís,Geòrgia,G.,true,60108879,83,NA
true,49,https://api.elsevier.com/content/author/author_id/26648246800,26648246800,Esko T.,Esko,Tõnu,T.,true,60068858,83,NA
true,50,https://api.elsevier.com/content/author/author_id/36047834200,36047834200,Estivill X.,Estivill,Xavier,X.,true,60108879,83,NA
true,51,https://api.elsevier.com/content/author/author_id/7102158824,7102158824,Farmer A.,Farmer,Anne,A.,true,60015879,83,NA
true,52,https://api.elsevier.com/content/author/author_id/57201409949,57201409949,Favaro A.,Favaro,Angela,A.,true,60000481,83,NA
true,53,https://api.elsevier.com/content/author/author_id/57220416973,57220416973,Fernández-Aranda F.,Fernández-Aranda,Fernando,F.,true,60011805,83,NA
true,54,https://api.elsevier.com/content/author/author_id/7102805779,7102805779,Fichter M.,Fichter,Manfred,M.,true,60000291,83,NA
true,55,https://api.elsevier.com/content/author/author_id/7403154309,7403154309,Fischer K.,Fischer,Krista,K.,true,60068858,83,NA
true,56,https://api.elsevier.com/content/author/author_id/25642808100,25642808100,Föcker M.,Föcker,Manuel,M.,true,60007896,83,NA
true,57,https://api.elsevier.com/content/author/author_id/6603541099,6603541099,Foretova L.,Foretova,Lenka,L.,true,60001992,83,NA
true,58,https://api.elsevier.com/content/author/author_id/57207902671,57207902671,Forstner A.,Forstner,Andreas,A.,true,60028287,83,NA
true,59,https://api.elsevier.com/content/author/author_id/26646419700,26646419700,Forzan M.,Forzan,Monica,M.,true,60000481,83,NA
true,60,https://api.elsevier.com/content/author/author_id/24721194400,24721194400,Franklin C.,Franklin,Christopher,C.,true,60005517,83,NA
true,61,https://api.elsevier.com/content/author/author_id/34975072000,34975072000,Gallinger S.,Gallinger,Steven,S.,true,60021600,83,NA
true,62,https://api.elsevier.com/content/author/author_id/55191108800,55191108800,Gaspar H.,Gaspar,Héléna,H.,true,60015879,83,NA
true,63,https://api.elsevier.com/content/author/author_id/6602186623,6602186623,Giegling I.,Giegling,Ina,I.,true,60014059,83,NA
true,64,https://api.elsevier.com/content/author/author_id/57192708488,57192708488,Giuranna J.,Giuranna,Johanna,J.,true,60007896,83,NA
true,65,https://api.elsevier.com/content/author/author_id/57216659237,57216659237,Giusti-Rodríquez P.,Giusti-Rodríquez,Paola,P.,true,60020469,83,NA
true,66,https://api.elsevier.com/content/author/author_id/23102935900,23102935900,Gonidakis F.,Gonidakis,Fragiskos,F.,true,60067083,83,NA
true,67,https://api.elsevier.com/content/author/author_id/56884953600,56884953600,Gordon S.,Gordon,Scott,S.,true,60025029,83,NA
true,68,https://api.elsevier.com/content/author/author_id/7004491587,7004491587,Gorwood P.,Gorwood,Philip,P.,true,60000905,83,NA
true,69,https://api.elsevier.com/content/author/author_id/57215019833,57215019833,Gratacos Mayora M.,Gratacos Mayora,Monica,M.,true,60108879,83,NA
true,70,https://api.elsevier.com/content/author/author_id/57191270755,57191270755,Grove J.,Grove,Jakob,J.,true,60029616,83,NA
true,71,https://api.elsevier.com/content/author/author_id/7003700411,7003700411,Guillaume S.,Guillaume,Sébastien,S.,true,60108488,83,NA
true,72,https://api.elsevier.com/content/author/author_id/35208385500,35208385500,Guo Y.,Guo,Yiran,Y.,true,60030118,83,NA
true,73,https://api.elsevier.com/content/author/author_id/55531171800,55531171800,Hakonarson H.,Hakonarson,Hakon,H.,true,60030118,83,NA
