@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,orcid,entry_number
true,10,https://api.elsevier.com/content/author/author_id/7103124166,7103124166,Krauss R.M.,Krauss,Ronald M.,R.M.,true,60023691,NA,385
true,11,https://api.elsevier.com/content/author/author_id/7202460412,7202460412,Lieberman D.E.,Lieberman,Daniel E.,D.E.,true,60009982,NA,385
true,12,https://api.elsevier.com/content/author/author_id/7006127785,7006127785,Taubes G.,Taubes,Gary,G.,true,113259351,NA,385
true,13,https://api.elsevier.com/content/author/author_id/7005510355,7005510355,Volek J.S.,Volek,Jeff S.,J.S.,true,60003500,NA,385
true,14,https://api.elsevier.com/content/author/author_id/7005006430,7005006430,Westman E.C.,Westman,Eric C.,E.C.,true,60005200,NA,385
true,15,https://api.elsevier.com/content/author/author_id/56803239300,56803239300,Willett W.C.,Willett,Walter C.,W.C.,true,60032499,NA,385
true,16,https://api.elsevier.com/content/author/author_id/35478698300,35478698300,Yancy W.S.,Yancy,William S.,W.S.,true,60005200,NA,385
true,17,https://api.elsevier.com/content/author/author_id/6701551751,6701551751,Ebbeling C.B.,Ebbeling,Cara B.,C.B.,true,60030521,NA,385
true,1,https://api.elsevier.com/content/author/author_id/56744776700,56744776700,Younan D.,Younan,Diana,D.,true,60015183,NA,386
true,2,https://api.elsevier.com/content/author/author_id/53264965900,53264965900,Wang X.,Wang,Xinhui,X.,true,60015183,NA,386
true,3,https://api.elsevier.com/content/author/author_id/24367129900,24367129900,Millstein J.,Millstein,Joshua,J.,true,60015183,NA,386
true,4,https://api.elsevier.com/content/author/author_id/33068314900,33068314900,Petkus A.J.,Petkus,Andrew J.,A.J.,true,60015183,NA,386
true,5,https://api.elsevier.com/content/author/author_id/24176891400,24176891400,Beavers D.P.,Beavers,Daniel P.,D.P.,true,60031437,NA,386
true,6,https://api.elsevier.com/content/author/author_id/35236499700,35236499700,Espeland M.A.,Espeland,Mark A.,M.A.,true,60031437,NA,386
true,7,https://api.elsevier.com/content/author/author_id/7006642056,7006642056,Chui H.C.,Chui,Helena C.,H.C.,true,60015183,NA,386
true,8,https://api.elsevier.com/content/author/author_id/7102831381,7102831381,Resnick S.M.,Resnick,Susan M.,S.M.,true,60017252,NA,386
true,9,https://api.elsevier.com/content/author/author_id/35465828000,35465828000,Gatz M.,Gatz,Margaret,M.,true,60029311,NA,386
true,10,https://api.elsevier.com/content/author/author_id/57214957383,57214957383,Kaufman J.D.,Kaufman,Joel D.,J.D.,true,60015481,NA,386
true,11,https://api.elsevier.com/content/author/author_id/6508271199,6508271199,Wellenius G.A.,Wellenius,Gregory A.,G.A.,true,60019674,NA,386
true,12,https://api.elsevier.com/content/author/author_id/6604048496,6604048496,Whitsel E.A.,Whitsel,Eric A.,E.A.,true,60020469,NA,386
true,13,https://api.elsevier.com/content/author/author_id/57207897577,57207897577,Manson J.A.E.,Manson,Jo Ann E.,J.A.E.,true,60002746,NA,386
true,14,https://api.elsevier.com/content/author/author_id/7006500047,7006500047,Rapp S.R.,Rapp,Stephen R.,S.R.,true,60031437,NA,386
true,15,https://api.elsevier.com/content/author/author_id/57202711521,57202711521,Chen J.C.,Chen,Jiu Chiuan,J.C.,true,60015183,NA,386
true,1,https://api.elsevier.com/content/author/author_id/8649756600,8649756600,Yang C.,Yang,Chunxing,C.,true,60000986,NA,387
true,2,https://api.elsevier.com/content/author/author_id/55540894000,55540894000,Qiao T.,Qiao,Tao,T.,true,60000986,NA,387
true,3,https://api.elsevier.com/content/author/author_id/55752741200,55752741200,Yu J.,Yu,Jia,J.,true,60017252,NA,387
true,4,https://api.elsevier.com/content/author/author_id/55877296312,55877296312,Wang H.,Wang,Hongyan,H.,true,60000986,NA,387
true,5,https://api.elsevier.com/content/author/author_id/18133779500,18133779500,Guo Y.,Guo,Yansu,Y.,true,60000986,NA,387
true,6,https://api.elsevier.com/content/author/author_id/34880798300,34880798300,Salameh J.,Salameh,Johnny,J.,true,60000986,NA,387
true,7,https://api.elsevier.com/content/author/author_id/56996034000,56996034000,Metterville J.,Metterville,Jake,J.,true,60000986,NA,387
true,8,https://api.elsevier.com/content/author/author_id/55203233000,55203233000,Parsi S.,Parsi,Sepideh,S.,true,60000986,NA,387
true,9,https://api.elsevier.com/content/author/author_id/58717050900,58717050900,Yusuf I.,Yusuf,Issa,I.,true,60000986,NA,387
true,10,https://api.elsevier.com/content/author/author_id/57224576048,57224576048,Brown R.H.,Brown,Robert H.,R.H.,true,60000986,NA,387
true,11,https://api.elsevier.com/content/author/author_id/57193165879,57193165879,Cai H.,Cai,Huaibin,H.,true,60017252,NA,387
true,12,https://api.elsevier.com/content/author/author_id/7405427239,7405427239,Xu Z.,Xu,Zuoshang,Z.,true,60000986,NA,387
true,1,https://api.elsevier.com/content/author/author_id/42561259100,42561259100,Goedeke L.,Goedeke,Leigh,L.,true,60017994,NA,388
true,2,https://api.elsevier.com/content/author/author_id/57219964446,57219964446,Murt K.N.,Murt,Kelsey N.,K.N.,true,60017252,NA,388
true,3,https://api.elsevier.com/content/author/author_id/36814733300,36814733300,Di Francesco A.,Di Francesco,Andrea,A.,true,60017252,NA,388
true,4,https://api.elsevier.com/content/author/author_id/36186641300,36186641300,Camporez J.P.,Camporez,João Paulo,J.P.,true,60017994,NA,388
true,5,https://api.elsevier.com/content/author/author_id/22835505300,22835505300,Nasiri A.R.,Nasiri,Ali R.,A.R.,true,60017994,NA,388
true,6,https://api.elsevier.com/content/author/author_id/57196001980,57196001980,Wang Y.,Wang,Yongliang,Y.,true,60017994,NA,388
true,7,https://api.elsevier.com/content/author/author_id/36656790600,36656790600,Zhang X.M.,Zhang,Xian Man,X.M.,true,60017994,NA,388
true,8,https://api.elsevier.com/content/author/author_id/7004815113,7004815113,Cline G.W.,Cline,Gary W.,G.W.,true,60017994,NA,388
true,9,https://api.elsevier.com/content/author/author_id/6602763291,6602763291,de Cabo R.,de Cabo,Rafael,R.,true,60017252,NA,388
true,10,https://api.elsevier.com/content/author/author_id/7102613915,7102613915,Shulman G.I.,Shulman,Gerald I.,G.I.,true,60017994,0000-0003-1529-5668,388
true,1,https://api.elsevier.com/content/author/author_id/57221349963,57221349963,Junker A.,Junker,Alex,A.,true,60027565,0000-0003-1746-7160,389
true,2,https://api.elsevier.com/content/author/author_id/59068187500,59068187500,Wang J.,Wang,Jennifer,J.,true,60027565,NA,389
true,3,https://api.elsevier.com/content/author/author_id/15069214300,15069214300,Gouspillou G.,Gouspillou,Gilles,G.,true,60027863,NA,389
true,4,https://api.elsevier.com/content/author/author_id/55507112600,55507112600,Ehinger J.K.,Ehinger,Johannes K.,J.K.,true,60118584,NA,389
true,5,https://api.elsevier.com/content/author/author_id/7003711485,7003711485,Elmér E.,Elmér,Eskil,E.,true,60118584,NA,389
true,6,https://api.elsevier.com/content/author/author_id/27467862400,27467862400,Sjövall F.,Sjövall,Fredrik,F.,true,60118584,NA,389
true,7,https://api.elsevier.com/content/author/author_id/24376018900,24376018900,Fisher-Wellman K.H.,Fisher-Wellman,Kelsey H.,K.H.,true,60016280,NA,389
true,8,https://api.elsevier.com/content/author/author_id/57201902847,57201902847,Neufer P.D.,Neufer,P. Darrell,P.D.,true,60016280,NA,389
true,9,https://api.elsevier.com/content/author/author_id/18233929400,18233929400,Molina A.J.A.,Molina,Anthony J.A.,A.J.A.,true,60121547,NA,389
true,10,https://api.elsevier.com/content/author/author_id/55239601400,55239601400,Ferrucci L.,Ferrucci,Luigi,L.,true,60017252,NA,389
true,11,https://api.elsevier.com/content/author/author_id/55511748560,55511748560,Picard M.,Picard,Martin,M.,true,60027565,0000-0003-2835-0478,389
true,1,https://api.elsevier.com/content/author/author_id/9039188700,9039188700,Chia R.,Chia,Ruth,R.,true,60017252,NA,390
true,2,https://api.elsevier.com/content/author/author_id/55364954000,55364954000,Saez-Atienzar S.,Saez-Atienzar,Sara,S.,true,60017252,NA,390
true,3,https://api.elsevier.com/content/author/author_id/57194386387,57194386387,Murphy N.,Murphy,Natalie,N.,true,60017252,NA,390
true,4,https://api.elsevier.com/content/author/author_id/7006225787,7006225787,Chio A.,Chio,Adriano,A.,true,60012259,NA,390
true,5,https://api.elsevier.com/content/author/author_id/54881254200,54881254200,Blauwendraat C.,Blauwendraat,Cornelis,C.,true,60017252,NA,390
true,6,https://api.elsevier.com/content/author/author_id/26654575900,26654575900,Roda R.H.,Roda,Ricardo H.,R.H.,true,60001117,NA,390
true,7,https://api.elsevier.com/content/author/author_id/7006905332,7006905332,Tienari P.J.,Tienari,Pentti J.,P.J.,true,60016987,NA,390
true,8,https://api.elsevier.com/content/author/author_id/7006723901,7006723901,Kaminski H.J.,Kaminski,Henry J.,H.J.,true,60003088,NA,390
true,9,https://api.elsevier.com/content/author/author_id/7007019527,7007019527,Ricciardi R.,Ricciardi,Roberta,R.,true,60028868,NA,390
true,10,https://api.elsevier.com/content/author/author_id/55763716900,55763716900,Guida M.,Guida,Melania,M.,true,60028868,NA,390
