@_fa,@seq,author-url,authid,orcid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,16,https://api.elsevier.com/content/author/author_id/24174880900,24174880900,0000-0003-2761-3723,Mellström D.,Mellström,Dan,D.,true,60027675,122
true,17,https://api.elsevier.com/content/author/author_id/57203254236,57203254236,0000-0002-9633-2805,Ohlsson C.,Ohlsson,Claes,C.,true,60027675,122
true,18,https://api.elsevier.com/content/author/author_id/7005243956,7005243956,NA,Ljunggren Ö.,Ljunggren,Östen,Ö.,true,60003858,122
true,19,https://api.elsevier.com/content/author/author_id/7201986958,7201986958,0000-0001-8818-7444,Xue Q.L.,Xue,Qian Li,Q.L.,true,60003443,122
true,20,https://api.elsevier.com/content/author/author_id/8368295700,8368295700,0000-0002-5283-2082,Shardell M.,Shardell,Michelle,M.,true,60012957,122
true,21,https://api.elsevier.com/content/author/author_id/57203593885,57203593885,NA,Jordan J.M.,Jordan,Joanne M.,J.M.,true,60020469,122
true,22,https://api.elsevier.com/content/author/author_id/25925259000,25925259000,NA,Pencina K.M.,Pencina,Karol M.,K.M.,true,60002746,122
true,23,https://api.elsevier.com/content/author/author_id/57605708200,57605708200,NA,Fielding R.A.,Fielding,Roger A.,R.A.,true,60103639,122
true,24,https://api.elsevier.com/content/author/author_id/58050879000,58050879000,NA,Magaziner J.,Magaziner,Jay,J.,true,60012957,122
true,25,https://api.elsevier.com/content/author/author_id/6603401034,6603401034,NA,Correa-De-Araujo R.,Correa-De-Araujo,Rosaly,R.,true,60017252,122
true,26,https://api.elsevier.com/content/author/author_id/7102133629,7102133629,0000-0002-3982-6200,Bhasin S.,Bhasin,Shalender,S.,true,60002746,122
true,27,https://api.elsevier.com/content/author/author_id/6505901702,6505901702,NA,Manini T.M.,Manini,Todd M.,T.M.,true,60013959,122
true,1,https://api.elsevier.com/content/author/author_id/57222331542,57222331542,0000-0003-1554-1478,Liu F.,Liu,Fangyu,F.,true,60006183,123
true,2,https://api.elsevier.com/content/author/author_id/57189597502,57189597502,0000-0002-5763-5184,Wanigatunga A.A.,Wanigatunga,Amal A.,A.A.,true,60006183,123
true,3,https://api.elsevier.com/content/author/author_id/56754640400,56754640400,NA,Kuo P.L.,Kuo,Pei Lun,P.L.,true,60017252,123
true,4,https://api.elsevier.com/content/author/author_id/35232005200,35232005200,NA,Zipunnikov V.,Zipunnikov,Vadim,V.,true,60006183,123
true,5,https://api.elsevier.com/content/author/author_id/7004348315,7004348315,NA,Simonsick E.M.,Simonsick,Eleanor M.,E.M.,true,60017252,123
true,6,https://api.elsevier.com/content/author/author_id/55239601400,55239601400,0000-0002-6273-1613,Ferrucci L.,Ferrucci,Luigi,L.,true,60017252,123
true,7,https://api.elsevier.com/content/author/author_id/35749105400,35749105400,0000-0001-9244-9267,Schrack J.A.,Schrack,Jennifer A.,J.A.,true,60006183,123
true,1,https://api.elsevier.com/content/author/author_id/40561536800,40561536800,NA,Reed X.,Reed,Xylena,X.,true,60017252,124
true,2,https://api.elsevier.com/content/author/author_id/57199302219,57199302219,NA,Cobb M.M.,Cobb,Melanie M.,M.M.,true,60026791,124
true,3,https://api.elsevier.com/content/author/author_id/57286982500,57286982500,NA,Skinbinski G.,Skinbinski,Gaia,G.,true,60026791,124
true,4,https://api.elsevier.com/content/author/author_id/57191504674,57191504674,NA,Roosen D.,Roosen,Dorien,D.,true,60017252,124
true,5,https://api.elsevier.com/content/author/author_id/14045306800,14045306800,NA,Kaganovich A.,Kaganovich,Alice,A.,true,60017252,124
true,6,https://api.elsevier.com/content/author/author_id/59592189500,59592189500,NA,Ding J.,Ding,Jinhui,J.,true,60017252,124
true,7,https://api.elsevier.com/content/author/author_id/7004508339,7004508339,NA,Finkbeiner S.,Finkbeiner,Steve,S.,true,60026791,124
true,8,https://api.elsevier.com/content/author/author_id/7006533543,7006533543,NA,Cookson M.R.,Cookson,Mark R.,M.R.,true,60017252,124
true,1,https://api.elsevier.com/content/author/author_id/57202001194,57202001194,NA,Qi Y.A.,Qi,Yue A.,Y.A.,true,60013409,125
true,2,https://api.elsevier.com/content/author/author_id/56485475600,56485475600,NA,Maity T.K.,Maity,Tapan K.,T.K.,true,60013409,125
true,3,https://api.elsevier.com/content/author/author_id/56368584200,56368584200,NA,Gao S.,Gao,Shaojian,S.,true,60013409,125
true,4,https://api.elsevier.com/content/author/author_id/59099465300,59099465300,NA,Gong T.,Gong,Tao,T.,true,60013409,125
true,5,https://api.elsevier.com/content/author/author_id/57219231843,57219231843,NA,Bahta M.,Bahta,Meriam,M.,true,60013409,125
true,6,https://api.elsevier.com/content/author/author_id/56485511700,56485511700,NA,Venugopalan A.,Venugopalan,Abhilash,A.,true,60013409,125
true,7,https://api.elsevier.com/content/author/author_id/57209618039,57209618039,NA,Zhang X.,Zhang,Xu,X.,true,60013409,125
true,8,https://api.elsevier.com/content/author/author_id/6507010184,6507010184,NA,Guha U.,Guha,Udayan,U.,true,60013409,125
true,1,https://api.elsevier.com/content/author/author_id/57224303610,57224303610,NA,Zhang Z.,Zhang,Zongpai,Z.,true,60136396,126
true,2,https://api.elsevier.com/content/author/author_id/7004551626,7004551626,NA,Luh W.M.,Luh,Wen Ming,W.M.,true,60017252,126
true,3,https://api.elsevier.com/content/author/author_id/57195984126,57195984126,NA,Duan W.,Duan,Wenna,W.,true,60136396,126
true,4,https://api.elsevier.com/content/author/author_id/57279653600,57279653600,NA,Zhou T.D.,Zhou,Tony D.,T.D.,true,60136396,126
true,5,https://api.elsevier.com/content/author/author_id/56609516000,56609516000,NA,Zhao L.,Zhao,Li,L.,true,60117749,126
true,6,https://api.elsevier.com/content/author/author_id/57224302926,57224302926,NA,Weinschenk G.,Weinschenk,George,G.,true,60136396,126
true,7,https://api.elsevier.com/content/author/author_id/56655305900,56655305900,NA,Anderson A.K.,Anderson,Adam K.,A.K.,true,60007776,126
true,8,https://api.elsevier.com/content/author/author_id/24398461900,24398461900,NA,Dai W.,Dai,Weiying,W.,true,60136396,126
true,1,https://api.elsevier.com/content/author/author_id/57224925857,57224925857,NA,Ajamu S.O.,Ajamu,Samuel O.,S.O.,true,60017252,127
true,2,https://api.elsevier.com/content/author/author_id/57204271194,57204271194,NA,Fenner R.C.,Fenner,Rachel C.,R.C.,true,60017252,127
true,3,https://api.elsevier.com/content/author/author_id/55367763500,55367763500,NA,Grigorova Y.N.,Grigorova,Yulia N.,Y.N.,true,60017252,127
true,4,https://api.elsevier.com/content/author/author_id/57224941560,57224941560,NA,Cezayirli D.,Cezayirli,Defne,D.,true,60017252,127
true,5,https://api.elsevier.com/content/author/author_id/7006700127,7006700127,NA,Morrell C.H.,Morrell,Christopher H.,C.H.,true,60017252,127
true,6,https://api.elsevier.com/content/author/author_id/35353736200,35353736200,NA,Lakatta E.G.,Lakatta,Edward G.,E.G.,true,60017252,127
true,7,https://api.elsevier.com/content/author/author_id/39561025400,39561025400,NA,Bouhrara M.,Bouhrara,Mustapha,M.,true,60017252,127
